#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-10-06T19:01:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ57f69f5710b3	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-out.src=J/MNRAS/386/2115/table1
#-nav=cat:J/MNRAS/386/2115&tab:{J/MNRAS/386/2115/table1}&key:source=J/MNRAS/386/2115/table1&HTTPPRM:&&-ref=VIZ57f69f5710b3&-out.max=unlimited&-out.form=ascii - 999%27filled&-out.all=2&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HIP&-out=Name&-out=plx&-out=e_plx&-out=Vmag&-out=Jmag&-out=Hmag&-out=Ksmag&-out=Per&-out=[Fe/H]&-out=E(B-V)&-out=Type&-out=Simbad&-ignore=Simbad=*&Simbad=Simbad&-out=_RA&-out=_DE&-out.all=2&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/MNRAS/386/2115/table1
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/386/2115/table1
#-order=I
#-out=HIP
#-out=Name
#-out=plx
#-out=e_plx
#-out=Vmag
#-out=Jmag
#-out=Hmag
#-out=Ksmag
#-out=Per
#-out=[Fe/H]
#-out=E(B-V)
#-out=Type
#-out=Simbad
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_73862115
#Name: J/MNRAS/386/2115
#Title: Type II Cepheid and RR Lyrae variables (Feast+, 2008)
#Table	J_MNRAS_386_2115_table1:
#Name: J/MNRAS/386/2115/table1
#Title: Basic data used in the analysis for 142 RR Lyrae
#Column	HIP	(I6)	Hipparcos number	[ucd=meta.id;meta.main]
#Column	Name	(a8)	Name	[ucd=meta.id]
#Column	plx	(F5.2)	Parallax (from revised HIP catalog, <I/311>)	[ucd=pos.parallax.trig]
#Column	e_plx	(F5.2)	rms uncertainty on plx	[ucd=stat.error;pos.parallax]
#Column	Vmag	(F6.3)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	Jmag	(F6.3)	2MASS J magnitude	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F6.3)	2MASS H magnitude	[ucd=phot.mag;em.IR.H]
#Column	Ksmag	(F6.3)	2MASS Ks magnitude	[ucd=phot.mag;em.IR.K]
#Column	Per	(F9.6)	Period	[ucd=time.period]
#Column	[Fe/H]	(F5.2)	Metallicity	[ucd=phys.abund.Z]
#Column	E(B-V)	(F6.3)	Reddening	[ucd=phot.color.excess]
#Column	Type	(A1)	[c] c for RRc-type variable	[ucd=meta.code;src.var]
#Column	Simbad	(a6)	ask the {\bf\fg{FireBrick}Simbad} data-base about this object	[ucd=]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
HIP;Name;plx;e_plx;Vmag;Jmag;Hmag;Ksmag;Per;[Fe/H];E(B-V);Type;Simbad;_RA;_DE
 ; ;mas;mas;mag;mag;mag;mag;d;[Sun];mag; ; ;deg;deg
------;--------;-----;-----;------;------;------;------;---------;-----;------;-;------;---------;---------
   226;RU Scl  ; 0.99; 1.96;10.220; 9.474; 9.294; 9.229; 0.493347;-1.27; 0.018; ;Simbad;000.70046;-24.94530
   320;UU Cet  ; 1.59; 5.73;12.080;11.137;10.863;10.837; 0.606080;-1.28; 0.021; ;Simbad;001.02135;-16.99764
  1878;SW And  ;-0.01; 1.84; 9.710; 8.809; 8.578; 8.505; 0.442262;-0.24; 0.038; ;Simbad;005.92954;+29.40101
  2655;RX Cet  ; 3.24; 4.74;11.440;10.606;10.378;10.319; 0.573685;-1.28; 0.025; ;Simbad;008.40952;-15.48745
  4541;W Tuc   ; 5.37; 2.41;11.410;10.594;10.373;10.344; 0.642260;-1.57; 0.021; ;Simbad;014.54042;-63.39566
  4725;RU Cet  ; 7.14; 4.62;11.680;10.597;10.487;10.465; 0.586267;-1.66; 0.023; ;Simbad;015.16792;-15.95768
  5803;RU Psc  ; 1.30; 2.08;10.190; 9.347; 9.162; 9.117; 0.390333;-1.75; 0.043;c;Simbad;018.60849;+24.41566
  6029;XX And  ;-0.79; 2.50;10.680; 9.727; 9.488; 9.409; 0.722755;-1.94; 0.039; ;Simbad;019.36423;+38.95056
  6094;VW Scl  ; 2.34; 2.79;11.030;10.418;10.193;10.136; 0.510913;-0.84; 0.016; ;Simbad;019.56238;-39.21246
  6115;AM Tuc  ;-1.93; 2.28;11.670;10.865;10.617;10.563; 0.405769;-1.49; 0.023;c;Simbad;019.62770;-67.91804
  7149;RR Cet  ; 0.48; 1.85; 9.730; 8.829; 8.623; 8.520; 0.553030;-1.45; 0.022; ;Simbad;023.03405;+01.34173
  7398;VX Scl  ; 3.71; 3.64;12.020;11.094;10.894;10.853; 0.637058;-2.25; 0.014; ;Simbad;023.84859;-35.12850
  8163;SV Scl  ; 5.50; 2.37;11.380;10.718;10.596;10.543; 0.377380;-1.77; 0.014;c;Simbad;026.24859;-30.05927
  8939;CI And  ; 0.77; 5.87;12.280;11.182;11.018;11.185; 0.484728;-0.69; 0.062; ;Simbad;028.78456;+43.76569
  9932;SS For  ; 3.57; 1.98;10.190; 9.546; 9.305; 9.246; 0.495424;-0.94; 0.014; ;Simbad;031.96658;-26.86603
 10491;RV Cet  ; 2.16; 2.70;10.920; 9.903; 9.580; 9.520; 0.623350;-1.60; 0.024; ;Simbad;033.81210;-10.80020
 11517;RZ Cet  ;-0.04; 4.92;11.850;11.031;10.787;10.737; 0.510606;-1.36; 0.029; ;Simbad;037.13516;-08.35837
 12199;CS Eri  ; 2.70; 1.10; 9.000; 8.144; 8.014; 7.973; 0.311332;-1.41; 0.018;c;Simbad;039.27399;-42.96335
 14601;X Ari   ; 0.99; 1.90; 9.570; 8.365; 8.042; 7.941; 0.651154;-2.43; 0.180; ;Simbad;047.12869;+10.44590
 14856;SV Eri  ; 3.18; 2.53; 9.960; 8.958; 8.710; 8.642; 0.713865;-1.70; 0.085; ;Simbad;047.96711;-11.35391
 16321;SX For  ;-5.39; 2.38;11.120;10.035; 9.847; 9.772; 0.605342;-1.66; 0.012; ;Simbad;052.59312;-36.05376
 19993;AR Per  ;-1.32; 2.02;10.510; 9.012; 8.710; 8.642; 0.425551;-0.30; 0.108; ;Simbad;064.32165;+47.40018
 22442;RX Eri  ; 1.31; 1.70; 9.690; 8.737; 8.485; 8.429; 0.587246;-1.33; 0.058; ;Simbad;072.43455;-15.74118
 22466;U Pic   ; 3.21; 2.21;11.380;10.689;10.464;10.381; 0.440373;-0.72; 0.009; ;Simbad;072.52763;-50.65701
 22750;BB Eri  ; 5.44; 3.58;11.520;10.321;10.147;10.110; 0.569909;-1.32; 0.048; ;Simbad;073.40632;-19.43363
 22952;U Lep   ; 2.32; 2.97;10.570; 9.814; 9.565; 9.542; 0.581479;-1.78; 0.027; ;Simbad;074.07494;-21.21723
 24471;RY Col  ; 3.35; 1.79;10.900;10.254; 9.732; 9.699; 0.478832;-0.91; 0.026; ;Simbad;078.78242;-41.62824
 29528;RX Col  ;-4.02; 5.53;12.720;11.634;11.393;11.313; 0.593780;-1.70; 0.082; ;Simbad;093.31143;-37.25015
 34743;TZ Aur  ;-3.70; 6.39;11.910;10.975;10.771;10.731; 0.391676;-0.79; 0.037; ;Simbad;107.89591;+40.77698
 35281;AA CMi  ; 1.40; 5.22;11.570;10.570;10.384;10.281; 0.476327;-0.15; 0.011; ;Simbad;109.32988;+01.72780
 35584;HH Pup  ; 2.39; 2.53;11.290;10.248;10.044; 9.975; 0.390748;-0.50; 0.158; ;Simbad;110.14815;-46.70836
 35667;RR Gem  ; 0.43; 3.24;11.380;10.566;10.306;10.275; 0.397292;-0.29; 0.054; ;Simbad;110.38971;+30.88318
