tmass_oid,source_id,original_ext_source_id,angular_distance,number_of_neighbours,number_of_mates,best_neighbour_multiplicity,proper_motion_flag
20067367,4660670086080134912,"05355794-6610348 ",0.051495707475612745,1,0,1,0
18327348,4659525872450052480,"05382136-6647206 ",0.25894336175142635,1,0,1,0
26026001,4675338120949840768,"04360030-6423594 ",0.13034178815893477,1,0,1,0
20692906,4660538247763017344,"05245804-6558133 ",0.18372219150252803,1,1,1,0
22814140,4663209992299609088,"04425956-6518526 ",0.07973451986752075,1,0,1,0
18866202,4659533431574807936,"05380433-6635374 ",0.06552734719803736,1,0,1,0
17690149,4659639053413432064,"05490672-6701364 ",0.10415597809235738,1,0,1,0
21148789,4662958822614225280,"04533529-6549502 ",0.19810949516464837,1,1,1,0
21561440,4663524349548266112,"05160558-6541585 ",0.20887060199982788,1,0,1,0
19484651,4659740242841523968,"05561338-6622339 ",0.24318839069749446,1,0,1,0
23141769,4660658266331533056,"05182201-6513015 ",0.022591723121286003,1,0,1,0
20449120,4660502170039766528,"05195040-6602549 ",0.07130711400119168,1,0,1,0
17865489,4659824497218498944,"05460354-6657387 ",0.08243736185173663,1,0,1,0
20275308,4660534021535514752,"05255384-6606233 ",0.05570349461732918,1,0,1,0
18066766,4659661627758216320,"05502629-6653071 ",0.02648643313294895,1,0,1,0
18062984,4659836828085553664,"05451057-6653121 ",0.13663864070011575,1,0,1,0
20095370,4660670086080146304,"05355145-6610006 ",0.021679953949237184,1,0,1,0
20110322,4660540927842904576,"05224397-6609423 ",0.00295988571667717,1,0,1,0
20450298,4660501482845004800,"05184942-6602535 ",0.05577239392002343,1,1,1,0
22650953,4660636108605888896,"05194803-6521492 ",0.0637036257816862,1,1,1,0
19017052,4662537125547902720,"04513619-6632238 ",0.12950487287125814,1,0,1,0
18768820,4659533809531913088,"05372828-6637430 ",0.09232414414075978,1,0,1,0
22470649,4662877802347897472,"04345567-6525056 ",0.06585371662884108,1,0,1,0
21379250,4662958169779728640,"04515409-6545266 ",0.1288192737901838,1,0,1,0
18753465,4659673997271259904,"05493236-6638026 ",0.13654799868036463,1,0,1,0
17741035,4659638675456505344,"05494014-6700279 ",0.12685347537947197,1,0,1,0
22220810,4663060527440636416,"04530852-6529398 ",0.07690468418010678,1,0,1,0
18078236,4659523845208113280,"05380898-6652520 ",0.07542828613878251,1,0,1,0
18620341,4659532469502080512,"05382499-6640552 ",0.13311702491349256,1,0,1,0
23515359,4662348181341882368,"04565422-6506236 ",0.3417450551248112,1,0,1,0
19751289,4660665447536261888,"05373455-6617018 ",0.17920238252127074,1,0,1,0
20202936,4660509007627598464,"05163605-6607504 ",0.051528595180564095,1,0,1,0
18566410,4659670423858142720,"05503075-6642059 ",0.02503899750068044,1,1,1,0
33842799,4674099211863344256,"03305278-6231191 ",0.06978491562055854,1,0,1,0
27661961,4675403060854811264,"04285863-6358129 ",0.10873402697627192,1,0,1,0
21643934,4660709844592511744,"05375159-6540244 ",2.6015813624659256,1,1,1,0
25265345,4672891260900478464,"03350643-6436306 ",0.2200508634149771,1,0,1,0
23320189,4660656685783619840,"05194419-6509513 ",0.07293400071938642,1,0,1,0
17951323,4662496615414340224,"04494665-6655423 ",0.03148196758828846,1,2,1,0
18424324,4659525597553927680,"05371735-6645119 ",0.05288251567550144,1,1,1,0
21226879,4662956692310670720,"04522568-6548206 ",0.10912212313153896,1,1,1,0
27524636,4673191908611877632,"03562302-6400193 ",0.01691221839452547,1,0,1,0
30597086,4675505349795989632,"04365927-6315227 ",0.0992063394348464,1,0,1,0
18483539,4662508297725379200,"04500049-6643541 ",0.07308322270053154,1,0,1,0
18569706,4659667537640350336,"05492775-6642016 ",0.02496229166656956,1,0,1,0
19594090,4659729041566075904,"05580614-6620169 ",0.21416547688095525,1,0,1,0
20886817,4660594975711981952,"05205693-6554401 ",0.11616279348362143,1,0,1,0
18100141,4659510170032228736,"05400633-6652229 ",0.12899460360663073,1,1,1,0
18162508,4659512437774965120,"05414325-6650599 ",0.06966221631624318,1,0,1,0
20882827,4660735614400483840,"05315290-6554445 ",0.16546418444127686,1,1,1,0
21480341,4660755504388232832,"05280493-6543307 ",0.06430717022672792,1,0,1,0
22044303,4660623631714663680,"05175657-6532553 ",0.09769456560570224,1,1,1,0
18760932,4659530133071418368,"05384527-6637531 ",0.1467094034401561,1,0,1,0
17825580,4662496031298900480,"04493400-6658329 ",0.13111630327800425,1,0,1,0
26487456,4675342106679544832,"04354396-6416337 ",0.11261553999654839,1,0,1,0
21439431,4660611846323900672,"05175536-6544177 ",0.1825608298905118,1,0,1,0
21864297,4660725130382008704,"05345837-6536163 ",0.12111367645797722,1,0,1,0
17449936,4659502061133359232,"05420303-6707070 ",0.026006508045004456,1,0,1,0
24811351,4663164534367558016,"04503235-6444084 ",0.05297998116534391,1,0,1,0
20131985,4660684654609260544,"05333389-6609162 ",0.13416806362759023,1,0,1,0
31085237,4675708450209210368,"04221143-6308329 ",0.036689843337834135,1,0,1,0
25038251,4675881210974037504,"04114551-6440190 ",0.19322076942242153,1,0,1,0
19639185,4662558291142397056,"04482272-6619208 ",0.10027978849035628,1,0,1,0
18614813,4659518588169281920,"05401145-6641025 ",0.12753891271907797,1,0,1,0
22853187,4660640158749267584,"05214117-6518103 ",0.11745351525723433,1,0,1,0
20274123,4660500142815114112,"05192762-6606247 ",0.11260204437368582,1,0,1,0
19280816,4662539255852095360,"04515833-6626496 ",0.3125863766784691,1,0,1,0
21576916,4660711764442581760,"05364479-6541405 ",0.15151520706572694,1,0,1,0
21561479,4660718945628956800,"05343205-6541584 ",0.20962686141598683,1,1,1,0
27319218,4673752315944664576,"03360781-6403307 ",0.11199421370011292,1,0,1,0
19598790,4662212322937204480,"05025606-6620110 ",0.12779250949613472,1,1,1,0
18218235,4659662074441795456,"05500107-6649457 ",0.03704449423227685,1,1,1,0
18183470,4659691280246136704,"05583058-6650321 ",3.9048604505537816,1,2,1,0
23609280,4660660259196482944,"05172586-6504447 ",0.1827989916728864,1,0,1,0
22502368,4675028024310945920,"04220409-6524311 ",0.09591382829108894,1,0,1,0
17572129,4659483339391441408,"05400313-6704180 ",0.1739494495828276,1,0,1,0
26954181,4675910485471619968,"04160508-6409125 ",0.30135380010489654,1,0,1,0
26846411,4675923885769556736,"04143350-6410537 ",0.12289887481526061,1,0,1,0
20198808,4660506087049832704,"05172476-6607555 ",0.07250159712223228,1,0,1,0
17749388,4659648158744374784,"05512418-6700164 ",0.09345263106919525,1,2,1,0
19713249,4662213529841417600,"05040522-6617490 ",0.04806530196889772,1,0,1,0
18522977,4662564029222359424,"04445069-6643024 ",0.040812833543344605,1,0,1,0
21075720,4660517082166451712,"05175653-6551142 ",0.11437103632526846,1,0,1,0
22334685,4660631706253346176,"05205953-6527351 ",0.04506562980720385,1,0,1,0
19557332,4662212219857980416,"05023560-6621030 ",0.2715012768542037,1,1,1,0
21393765,4662259258338052480,"05034393-6545098 ",0.15251198841830635,1,0,1,0
19546198,4660441799977683840,"05212079-6621168 ",0.14203549360427453,1,0,1,0
21412103,4660697402072944128,"05330161-6544490 ",0.23654459747697687,1,0,1,0
18337904,4659526044231432832,"05380703-6647066 ",0.12514159278392775,1,1,1,0
19190465,4659536627030525568,"05374233-6628434 ",0.11730172094355282,1,0,1,0
20848140,4660735545680959616,"05315826-6555224 ",1.8878328345097894,1,1,1,0
