ph_qual,tmass_oid,designation,ra,dec,err_maj,err_min,err_ang,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,ext_key,j_date
"AAA",18183470,"05583058-6650321 ",89.627454,-66.84227,0.06,0.06,90,12.116,0.024,11.761,0.027,11.628,0.026,,2451111.8596
"AAA",17990644,"05441758-6654495 ",86.073269,-66.913765,0.17,0.09,1,14.721,0.045,14.428,0.062,14.359,0.09,,2450893.5422
"CUU",18327348,"05382136-6647206 ",84.589037,-66.789078,0.19,0.16,2,16.387,0.134,15.042,,15.761,,,2451580.5971
"AAA",18988176,"05345346-6633006 ",83.722783,-66.550171,0.06,0.06,45,14.542,0.059,14.264,0.065,14.213,0.079,,2451580.5792
"AAA",22573484,"05121884-6523136 ",78.078518,-65.387138,0.08,0.07,7,14.732,0.048,14.442,0.059,14.48,0.104,,2451604.551
"AAB",23070081,"05215556-6514181 ",80.481508,-65.238365,0.08,0.07,11,15.033,0.05,14.843,0.108,14.496,0.105,,2451157.6236
"AAA",19473895,"05153250-6622474 ",78.885441,-66.379852,0.07,0.07,8,14.161,0.03,13.883,0.043,13.766,0.05,,2451112.7508
"AAA",19235469,"05120449-6627469 ",78.018749,-66.463036,0.1,0.07,1,14.628,0.035,14.269,0.058,14.251,0.088,,2451112.7325
"AAA",22891858,"05212340-6517287 ",80.347524,-65.291328,0.07,0.07,83,14.486,0.032,14.084,0.054,14.16,0.083,,2451157.6237
"AAA",20888479,"05132570-6554382 ",78.357101,-65.910637,0.09,0.07,0,14.501,0.036,14.138,0.069,14.159,0.091,,2451157.5778
"AAA",19295756,"05395715-6626308 ",84.988143,-66.441895,0.09,0.08,86,14.895,0.039,14.394,0.047,14.27,0.083,,2450891.5704
"AAA",23244066,"05125399-6511129 ",78.224978,-65.18692,0.07,0.07,45,14.762,0.042,14.371,0.067,14.491,0.106,,2451604.5508
"UCU",19645448,"04592037-6619131 ",74.83488,-66.320328,0.17,0.15,106,12.917,,14.163,0.175,12.678,,,2451111.786
"AAA",19539747,"05115877-6621249 ",77.994907,-66.356926,0.11,0.07,1,13.933,0.031,13.591,0.039,13.632,0.054,,2451112.7325
"AAD",22650953,"05194803-6521492 ",79.950135,-65.36367,0.09,0.08,7,15.707,0.068,15.407,0.093,15.619,0.265,,2451592.5974
"ABC",18760932,"05384527-6637531 ",84.688653,-66.631424,0.19,0.09,0,15.733,0.059,15.301,0.11,15.203,0.202,,2450891.5621
"AAA",25528334,"05060334-6432077 ",76.513949,-64.535484,0.07,0.07,45,15.809,0.075,14.981,0.097,14.612,0.104,,2451207.5378
"ABC",23941119,"04330808-6458596 ",68.283694,-64.983238,0.11,0.11,135,15.89,0.06,15.699,0.112,15.451,0.178,,2451114.8244
"ACU",21439431,"05175536-6544177 ",79.480667,-65.738274,0.18,0.18,67,16.135,0.109,15.824,0.164,15.347,,,2451592.588
"AAA",20273348,"05035982-6606257 ",75.999289,-66.107147,0.09,0.08,2,14.882,0.04,14.628,0.077,14.477,0.093,,2451111.8132
"AAA",30585592,"07304292-6315325 ",112.678842,-63.259029,0.07,0.06,86,14.628,0.035,14.483,0.054,14.437,0.069,,2451531.7932
"AAA",20274123,"05192762-6606247 ",79.8651,-66.106888,0.08,0.07,5,14.816,0.04,14.393,0.067,14.279,0.077,,2451167.7628
"AAA",35254460,"07535437-6213098 ",118.476569,-62.219395,0.07,0.06,0,13.22,0.027,12.618,0.023,12.436,0.023,,2451550.6563
"AAB",22539489,"05143419-6523504 ",78.642491,-65.397339,0.07,0.07,0,14.888,0.037,14.645,0.047,14.657,0.119,,2451592.5696
"AAA",18566410,"05503075-6642059 ",87.628164,-66.701653,0.15,0.1,0,14.482,0.036,14.187,0.046,14.201,0.087,,2450893.5711
"AAA",22096952,"08083468-6531570 ",122.144521,-65.532516,0.07,0.06,0,13.897,0.027,13.688,0.038,13.677,0.059,,2451545.691
"ABU",18762549,"07523416-6637510 ",118.142348,-66.630844,0.11,0.11,163,15.89,0.083,15.747,0.15,15.723,,,2451529.8641
"AAA",33842799,"03305278-6231191 ",52.719944,-62.52198,0.06,0.06,45,14.544,0.029,14.231,0.035,14.412,0.078,,2451516.5805
"ABC",22837155,"05112793-6518277 ",77.866382,-65.307709,0.09,0.09,90,15.722,0.075,15.366,0.132,15.208,0.179,,2451207.5675
"AAB",17982733,"05310883-6655001 ",82.786802,-66.91671,0.08,0.07,0,15.199,0.054,14.784,0.076,14.741,0.13,,2451602.5488
"AAA",19773299,"05183247-6616346 ",79.635295,-66.276291,0.08,0.07,4,14.5,0.036,14.191,0.054,14.052,0.078,,2451167.7539
"AAA",20202936,"05163605-6607504 ",79.15022,-66.130676,0.08,0.08,90,14.893,0.043,14.649,0.076,14.482,0.109,,2451167.7441
"AAA",19971227,"05041714-6612320 ",76.071454,-66.208893,0.08,0.08,17,14.779,0.035,14.693,0.084,14.444,0.086,,2451111.8132
"AAA",18620341,"05382499-6640552 ",84.604127,-66.682022,0.08,0.08,45,14.97,0.045,14.633,0.074,14.47,0.102,,2451580.5972
