allwise_oid,source_id,original_ext_source_id,angular_distance,number_of_neighbours,number_of_mates,best_neighbour_multiplicity,proper_motion_flag
36303997,4660670086080134912,"J053557.91-661034.7 ",0.19036540891707054,1,0,1,0
41905987,4675338120949840768,"J043600.31-642359.4 ",0.10096810111668811,1,0,1,0
36935503,4660538247763017344,"J052458.02-655813.1 ",0.15002997164611595,1,0,1,0
38978613,4663209992299609088,"J044259.60-651852.7 ",0.36172669302810173,1,0,1,0
38188152,4663197863313540736,"J044256.56-653358.8 ",1.3118705024734127,1,0,1,0
35039465,4659533431574807936,"J053804.33-663537.4 ",0.041592776198535075,1,0,1,0
43961012,4673212322590824064,"J035335.89-634619.8 ",0.6501713323606596,1,0,1,0
33752508,4659639053413432064,"J054906.73-670136.4 ",0.16468713199180382,1,0,1,0
35186954,4662677656874460032,"J044044.90-663240.6 ",1.245977592159754,1,0,1,0
37370451,4662958822614225280,"J045335.28-654950.0 ",0.24579722111675142,1,0,1,0
45807337,4677006011368736384,"J043759.64-631308.2 ",1.0548370250544552,1,0,1,0
53653233,4676957117461314432,"J041357.05-605658.2 ",0.8169108782138695,1,0,1,0
37774994,4663524349548266112,"J051605.55-654158.6 ",0.21942936506647087,1,0,1,0
37867750,4663020086028882816,"J044854.06-654011.4 ",1.1430769431725563,1,0,1,0
39286559,4660658266331533056,"J051822.04-651301.4 ",0.22700905597872967,1,0,1,0
36694194,4660502170039766528,"J051950.40-660254.7 ",0.22895800561094992,1,0,1,0
36574455,4662794033307257216,"J043905.98-660515.8 ",0.271874906327896,1,0,1,0
33948207,4659824497218498944,"J054603.53-665739.0 ",0.2198293082208152,1,0,1,0
36658143,4659803636559757056,"J055125.46-660337.2 ",0.7286636777144064,1,0,1,0
47955683,4676532396735780608,"J041709.84-623452.5 ",0.7340543137155427,1,0,1,0
36517084,4660534021535514752,"J052553.84-660623.4 ",0.16453629719918497,1,0,1,0
34171192,4659661627758216320,"J055026.35-665307.3 ",0.4053004535703507,1,0,1,0
37786552,4674783864009351040,"J043202.15-654145.2 ",0.26980609912124187,1,0,1,0
38416194,4662838838404846464,"J044034.30-652935.3 ",0.15308189842790387,1,0,1,0
34167298,4659836828085553664,"J054510.59-665312.0 ",0.024301696059683284,1,0,1,0
36332803,4660670086080146304,"J053551.38-661000.5 ",0.42889982035778673,1,0,1,0
36348125,4660540927842904576,"J052243.96-660942.3 ",0.03416278438057391,1,0,1,0
