allwise_oid,designation,ra,dec,ra_error,dec_error,radec_co_error,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,w4mpro,w4mpro_error,cc_flags,ext_flag,var_flag,ph_qual,w1mjd_mean,w2mjd_mean,w3mjd_mean,w4mjd_mean,w1gmag,w1gmag_error,w2gmag,w2gmag_error,w3gmag,w3gmag_error,w4gmag,w4gmag_error,tmass_key
34935164,"J053728.29-663743.1 ",84.3678946,-66.6286573,0.0397,0.042,0.0039,12.928,0.023,12.974,0.023,12.896,0.345,9.758,0.478,"0000",0,"98nn","AABC",55468.05424868,55468.05424868,55363.13541072,55363.434378,,,,,,,,,808280509
38682112,"J042204.10-652431.1 ",65.5171158,-65.4086389,0.0759,0.0729,0.0101,15.386,0.031,15.391,0.056,12.463,,9.402,,"0000",0,"1nnn","AAUU",55496.28342688,55496.28342688,55364.33029014,55364.33029014,,,,,,,,,225214777
34480263,"J053210.26-664650.3 ",83.0427777,-66.7806469,0.0424,0.0439,0.0038,13.768,0.023,13.822,0.025,12.978,,9.661,,"0h00",0,"63nn","AAUU",55486.762409,55487.07532485,55358.63197362,55358.63197362,,,,,,,,,893359854
42072731,"J043435.96-642058.9 ",68.6498558,-64.3497138,0.2695,0.2477,-0.0474,17.38,0.084,17.376,,12.799,,8.952,,"0000",0,"nnnn","AUUU",55492.86915717,55492.86915717,55372.86640968,55372.86640968,,,,,,,,,
40040512,"J045543.36-645844.0 ",73.9306805,-64.9788934,0.3274,0.302,-0.0455,17.61,0.099,18.003,,13.19,,9.682,,"0000",0,"nnnn","AUUU",55469.49671767,55469.49671767,55375.28364677,55375.28364677,,,,,,,,,
37196566,"J042313.05-655308.6 ",65.8043765,-65.8857298,0.5295,0.4935,0.0589,17.943,0.157,17.923,,13.132,,9.416,,"hH00",0,"nnnn","BUUU",55466.50205522,55466.50205522,55361.96132329,55361.96132329,,,,,,,,,
40494395,"J051039.95-645013.7 ",77.6664635,-64.8371438,0.0543,0.0698,0.0102,14.299,0.03,14.303,0.035,13.679,,9.788,,"0000",1,"nnnn","AAUU",55440.08959157,55440.08959157,55380.34611116,55380.34611116,,,,,,,,,234063643
36150858,"J045305.22-661335.5 ",73.2717736,-66.2265362,0.0557,0.0529,-0.0116,14.013,0.027,14.07,0.03,12.839,,8.967,,"0000",0,"nnnn","AAUU",55476.3757099,55476.3757099,55364.37180098,55364.37180098,,,,,,,,,120166782
35555062,"J051344.23-662523.4 ",78.4343016,-66.4231822,0.2616,0.2377,0.0277,17.571,0.085,17.676,0.306,12.307,0.192,9.521,0.415,"0000",0,"nnnn","ABBC",55467.17502733,55467.17502733,55365.56811149,55365.56811149,,,,,,,,,
35186954,"J044044.90-663240.6 ",70.1871015,-66.544615,0.6108,0.5572,0.0775,18.229,0.182,17.816,,13.195,,9.543,,"0000",0,"nnnn","BUUU",55460.39409666,55460.39409666,55360.11172651,55360.11172651,,,,,,,,,
39761566,"J044701.52-650359.8 ",71.7563621,-65.0666152,0.416,0.3743,-0.0622,17.79,0.125,17.333,,13.053,,9.537,,"0000",0,"nnnn","BUUU",55471.20457952,55471.20457952,55371.61765331,55371.61765331,,,,,,,,,
43181021,"J042625.53-640031.7 ",66.6064019,-64.0088123,0.3546,0.3231,-0.0605,17.754,0.108,17.86,,13.005,,9.252,,"0h00",0,"nnnn","AUUU",55500.6579449,55500.6579449,55372.38666181,55372.38666181,,,,,,,,,
38464253,"J052525.86-652840.2 ",81.3577663,-65.4778545,0.1351,0.1238,-0.009,16.785,0.046,16.77,0.128,13.502,,9.832,,"0000",0,"1nnn","ABUU",55477.99770647,55477.99770647,55366.65169304,55366.65169304,,,,,,,,,
33627535,"J061455.22-670409.2 ",93.7301048,-67.0692356,0.0716,0.0685,0.0028,15.573,0.03,15.512,0.052,13.297,,9.91,,"0000",0,"1nnn","AAUU",55427.97314236,55427.97314236,55327.19350073,55327.19350073,,,,,,,,,128654436
35811645,"J055806.18-662016.9 ",89.5257888,-66.3380457,0.0555,0.0568,0.0017,14.754,0.026,14.762,0.038,13.225,,9.888,,"dd00",0,"30nn","AAUU",55402.35993246,55402.35993246,55304.18346334,55304.18346334,,,,,,,,,120700174
36600978,"J051247.40-660444.6 ",78.1975125,-66.0790599,0.0484,0.0494,0.0077,14.156,0.025,14.202,0.029,13.5,,9.933,,"0000",0,"43nn","AAUU",55446.7835038,55446.7835038,55369.08811049,55369.08811049,,,,,,,,,683781082
37118195,"J052056.92-655440.0 ",80.2371927,-65.9111117,0.0621,0.0611,0.0078,14.981,0.028,15.109,0.042,13.455,,9.906,,"0000",0,"31nn","AAUU",55474.39289315,55476.11293466,55373.18609741,55373.18609741,,,,,,,,,199738874
38430813,"J052617.64-652918.6 ",81.5735155,-65.488514,0.2298,0.2109,-0.0419,17.494,0.07,17.96,,13.43,,9.759,,"00P0",0,"nnnn","AUUU",55477.79076757,55477.22317746,55359.53163483,55359.53163483,,,,,,,,,
42923135,"J071131.68-640516.2 ",107.8820028,-64.0878593,0.0425,0.0442,-0.0062,13.369,0.024,13.357,0.025,12.917,0.455,9.418,,"0000",0,"85nn","AACU",55457.55831557,55457.55831557,55352.57815476,55352.57815476,,,,,,,,,740285688
39330891,"J042527.15-651211.1 ",66.363162,-65.2031092,0.3899,0.3572,-0.0643,17.945,0.122,17.809,0.381,13.166,,9.118,,"0000",0,"nnnn","BCUU",55497.56892467,55497.56892467,55366.08850319,55366.08850319,,,,,,,,,
35245469,"J050423.18-663131.0 ",76.0965879,-66.5252954,0.0462,0.0468,0.0069,13.987,0.024,14.024,0.028,13.077,,9.422,,"000P",0,"21nn","AAUU",55470.98951554,55470.98951554,55363.06709814,55363.06709814,,,,,,,,,120474627
36397653,"J045343.65-660844.0 ",73.4318939,-66.1455604,0.0506,0.0504,0.0083,14.145,0.025,14.238,0.031,13.158,,9.203,,"0000",0,"21nn","AAUU",55478.59169546,55478.59169546,55365.15973608,55365.07359156,,,,,,,,,120218010
36439392,"J051724.68-660755.1 ",79.3528487,-66.1319883,0.048,0.049,0.0065,14.23,0.025,14.242,0.029,13.464,0.468,9.621,,"000P",0,"64nn","AACU",55469.19100764,55469.19100764,55369.19777668,55369.26757892,,,,,,,,,199657488
38989517,"J050836.16-651840.3 ",77.1506824,-65.3112208,0.042,0.0433,0.0079,13.403,0.024,13.407,0.024,13.255,0.342,9.993,,"0000",0,"22nn","AABU",55432.06795199,55432.40905847,55374.82105567,55374.86922333,,,,,,,,,234031773
33130140,"J065211.81-671422.1 ",103.0492394,-67.239487,0.0612,0.0581,0.0129,14.73,0.028,14.796,0.038,12.649,,8.911,,"0000",0,"nnnn","AAUU",55466.87004276,55466.87004276,55295.24874629,55295.24874629,,,,,,,,,198070042
34207854,"J054006.32-665222.9 ",85.0263688,-66.8730376,0.0475,0.0484,0.004,13.952,0.025,14.01,0.028,13.476,,9.883,,"0h00",0,"32nn","AAUU",55467.3464153,55467.3464153,55356.41335138,55356.41335138,,,,,,,,,1261104729
38103595,"J064324.65-653536.9 ",100.8527235,-65.593604,0.5541,0.5207,0.161,18.479,0.17,18.393,,13.337,,9.844,,"0000",0,"nnnn","BUUU",55463.20891884,55463.20891884,55356.11879197,55356.11879197,,,,,,,,,
35386964,"J053742.34-662843.4 ",84.4264544,-66.4787326,0.041,0.0431,0.0056,13.229,0.024,13.258,0.023,13.33,,9.839,,"0000",0,"11nn","AAUU",55474.0431678,55473.28464214,55367.09789846,55367.22235919,,,,,,,,,808281087
43639372,"J045432.22-635209.0 ",73.6342728,-63.8691888,0.3563,0.3274,-0.07,17.724,0.111,17.711,0.388,13.4,,9.69,,"0000",0,"nnnn","BCUU",55473.96887541,55473.96887541,55383.4818151,55383.4818151,,,,,,,,,
34723702,"J053142.93-664156.7 ",82.9288998,-66.6990897,0.0578,0.0578,0.0084,14.8,0.027,15.033,0.038,13.165,,9.6,,"hh00",0,"21nn","AAUU",55491.77273247,55491.77273247,55360.98650452,55361.20937018,,,,,,,,,893360211
39425209,"J052135.19-651023.1 ",80.3966446,-65.1730908,0.0508,0.0504,0.0086,14.332,0.025,14.424,0.031,13.612,,9.997,,"0000",0,"31nn","AAUU",55450.88406607,55450.88406607,55357.06141701,55357.06141701,,,,,,,,,183779378
36658143,"J055125.46-660337.2 ",87.856118,-66.0603442,0.1708,0.1592,-0.035,17.085,0.057,17.016,0.172,13.031,,9.925,,"0000",0,"nnnn","ABUU",55423.18456129,55423.18456129,55323.83083649,55323.83083649,,,,,,,,,
34336270,"J055001.08-664945.7 ",87.5045207,-66.8293662,0.0453,0.0466,-0.0055,14.01,0.024,14.06,0.027,13.456,,10.005,,"dd00",0,"21nn","AAUU",55459.12398692,55459.12398692,55352.98715097,55352.98715097,,,,,,,,,1252961535
34801836,"J053018.86-664023.0 ",82.5786137,-66.6730808,0.0479,0.0485,0.0057,14.138,0.025,14.186,0.028,13.39,,9.666,,"0000",0,"63nn","AAUU",55489.4559684,55489.4559684,55362.42443303,55362.42443303,,,,,,,,,866170684
35468028,"J051332.71-662707.3 ",78.3863242,-66.4520446,0.0505,0.0509,0.0069,14.402,0.025,14.463,0.031,12.615,0.258,9.788,0.505,"hh00",0,"64nn","AABC",55466.64303957,55466.64303957,55365.07859142,55365.07859142,,,,,,,,,128311365
40700911,"J044033.57-644621.8 ",70.1398967,-64.7727231,0.1025,0.0959,-0.0037,15.951,0.038,16.011,0.093,13.172,,9.529,,"0000",0,"0nnn","AAUU",55469.947793,55469.947793,55371.98741845,55371.98741845,,,,,,,,,225444332
34120674,"J054425.53-665408.9 ",86.1064017,-66.9024926,0.0493,0.0504,0.0044,14.257,0.025,14.348,0.03,13.422,,9.861,,"0000",0,"21nn","AAUU",55462.15705405,55462.15705405,55353.27919425,55353.27919425,,,,,,,,,1252771980
35328039,"J050713.41-662953.4 ",76.8059092,-66.4981805,0.0459,0.0467,0.0074,13.814,0.024,13.826,0.027,13.476,,9.77,,"0000",0,"21nn","AAUU",55471.92633872,55471.08450654,55363.91729923,55363.91729923,,,,,,,,,120547676
33872771,"J052145.98-665910.4 ",80.4415943,-66.9862425,0.0907,0.0881,0.0162,15.862,0.036,16.161,0.082,13.05,,9.708,,"0h00",0,"1nnn","AAUU",55461.90641838,55461.90641838,55356.95417659,55356.71143761,,,,,,,,,199743053
38105560,"J044430.93-653534.7 ",71.1288861,-65.5929871,0.0609,0.0596,0.0079,14.901,0.027,14.983,0.044,13.016,,9.31,,"0000",0,"21nn","AAUU",55481.06028279,55480.33118795,55367.44448559,55367.44448559,,,,,,,,,136362331
34588303,"J053937.73-664439.4 ",84.9072273,-66.7443009,0.0596,0.0594,0.0086,14.865,0.028,15.048,0.039,13.455,,9.84,,"0000",0,"31nn","AAUU",55466.06114833,55466.06114833,55360.15346668,55360.2811053,,,,,,,,,1261036870
39182354,"J051552.71-651500.1 ",78.9696308,-65.2500549,0.18,0.1658,-0.0289,17.131,0.06,16.979,0.157,13.048,,9.662,,"00PP",0,"nnnn","ABUU",55427.35096087,55427.35096087,55378.83986744,55378.86484515,,,,,,,,,
37134986,"J052958.41-655420.3 ",82.4934134,-65.9056628,0.0394,0.0411,0.0069,12.935,0.023,12.937,0.022,12.863,0.266,9.935,,"0000",0,"97nn","AABU",55465.16643987,55465.73191755,55371.31489986,55371.31489986,,,,,,,,,183905079
35210389,"J051209.71-663212.7 ",78.0404829,-66.5368769,0.0474,0.0482,0.009,14.317,0.024,14.412,0.03,12.926,,9.81,,"0000",0,"31nn","AAUU",55465.24897629,55465.24897629,55364.06724298,55364.06724298,,,,,,,,,128232597
34001939,"J054248.04-665633.5 ",85.7002066,-66.9426402,0.0434,0.0449,0.0045,13.526,0.024,13.557,0.025,12.109,0.16,9.534,0.391,"0000",0,"11nn","AABC",55465.01736575,55465.82544697,55351.71768334,55351.53946362,,,,,,,,,1252763533
68946242,"J032309.55-565531.8 ",50.7898158,-56.9255164,0.0861,0.0839,-0.015,15.463,0.034,15.581,0.079,13.076,,9.584,,"0000",0,"0nnn","AAUU",55470.0774277,55470.0774277,55377.53385576,55377.53385576,,,,,,,,,635119687
34405682,"J062404.76-664820.9 ",96.0198654,-66.8058247,0.3389,0.3079,0.0587,18.032,0.104,18.376,,13.481,,10.016,,"00PP",0,"nnnn","AUUU",55445.20515107,55442.92916806,55349.42149917,55347.68209735,,,,,,,,,
35878390,"J051617.08-661857.7 ",79.0711828,-66.3160432,0.0415,0.043,0.0054,13.621,0.023,13.717,0.024,12.848,,9.585,,"0000",0,"98nn","AAUU",55467.46931611,55467.02280139,55366.81201286,55366.81201286,,,,,,,,,199581389
39219495,"J052155.57-651418.1 ",80.4815689,-65.2383622,0.0506,0.0504,0.0092,14.51,0.024,14.649,0.033,13.629,,9.916,,"0000",0,"21nn","AAUU",55453.27410656,55453.27410656,55357.23662533,55357.23662533,,,,,,,,,183779575
37695699,"J052804.92-654330.6 ",82.0205056,-65.7251783,0.0467,0.051,0.0043,14.231,0.024,14.239,0.03,12.354,0.187,9.466,,"0000",0,"nnnn","AABU",55471.88509518,55471.29032816,55362.52697873,55362.52697873,,,,,,,,,183874811
35484344,"J062502.29-662647.7 ",96.2595479,-66.4465835,0.3387,0.3125,0.0785,17.973,0.103,17.749,,13.324,,9.843,,"000P",0,"nnnn","AUUU",55466.44953837,55466.44953837,55365.04309908,55365.04309908,,,,,,,,,
33539188,"J052747.41-670557.7 ",81.9475626,-67.0993823,0.0367,0.0397,0.0016,12.629,0.022,12.729,0.021,12.144,0.157,9.415,,"0000",0,"12nn","AABU",55467.37535241,55467.37535241,55353.49174037,55353.49174037,,,,,,,,,810432475
39013925,"J052707.40-651812.5 ",81.7808717,-65.3034734,0.0397,0.0402,0.009,13.001,0.023,13.026,0.022,12.732,0.258,9.391,,"0000",1,"99nn","AABU",55457.60129995,55457.60129995,55323.76010636,55323.76010636,,,,,,,,,183871415
39480630,"J044608.17-650919.8 ",71.5340686,-65.1555003,0.0913,0.0864,-0.0092,15.71,0.035,15.679,0.074,12.471,,9.437,,"0000",0,"0nnn","AAUU",55472.33976573,55472.33976573,55370.93515982,55370.93515982,,,,,,,,,136384916
42390660,"J044922.57-641504.4 ",72.3440708,-64.2512382,0.5688,0.5225,-0.1188,18.247,0.175,17.683,,13.241,,9.508,,"0000",0,"nnnn","BUUU",55464.35056674,55465.34361013,55378.68119783,55378.7821457,,,,,,,,,
36596769,"J052132.46-660449.6 ",80.3852745,-66.080461,0.0452,0.0461,0.0086,13.859,0.024,13.967,0.027,13.456,,9.291,,"0h0H",0,"74nn","AAUU",55486.66875402,55487.11762714,55370.80211166,55370.80211166,,,,,,,,,199739446
37005181,"J051805.41-655651.8 ",79.5225469,-65.9477418,0.0483,0.049,0.0062,14.301,0.025,14.4,0.029,11.506,0.08,9.312,0.28,"0000",0,"64nn","AAAB",55465.66012274,55465.66012274,55371.86629738,55371.86629738,,,,,,,,,199658106
37542353,"J050601.69-654629.5 ",76.5070823,-65.7748654,0.0541,0.0542,0.0088,14.529,0.026,14.586,0.035,13.055,,9.796,,"00PP",0,"11nn","AAUU",55448.0239838,55448.60494641,55370.13642239,55370.18537165,,,,,,,,,233998881
34972299,"J050726.77-663658.4 ",76.8615779,-66.6162429,0.0488,0.0493,0.0089,14.123,0.025,14.167,0.029,13.403,,9.512,,"0000",0,"53nn","AAUU",55470.35207106,55470.35207106,55362.33029394,55362.33029394,,,,,,,,,120548218
34716007,"J055030.75-664205.9 ",87.628137,-66.7016526,0.0463,0.0476,0.0019,14.122,0.024,14.18,0.028,13.262,,9.699,,"dd00",0,"21nn","AAUU",55466.3694195,55466.3694195,55358.98180963,55358.98180963,,,,,,,,,1252967886
36440163,"J063546.48-660754.2 ",98.9436825,-66.1317282,0.4067,0.3814,0.1012,18.155,0.125,18.365,,13.629,,9.999,,"0000",0,"nnnn","BUUU",55445.01885251,55445.01885251,55361.65829676,55361.65829676,,,,,,,,,
36115877,"J065334.05-661416.6 ",103.3918955,-66.2379711,0.6075,0.5676,0.1571,18.767,0.187,18.494,,12.825,,9.725,,"0000",0,"nnnn","BUUU",55509.01194432,55509.28477643,55365.39149541,55365.39149541,,,,,,,,,
34626164,"J045000.49-664354.0 ",72.5020741,-66.7316891,0.0374,0.0399,0.0065,12.185,0.023,12.253,0.022,11.669,0.113,9.746,,"hh00",0,"11nn","AABU",55456.33206677,55456.33206677,55359.67591391,55359.67591391,,,,,,,,,1218492417
40093421,"J042921.24-645744.3 ",67.3385263,-64.9623143,0.4199,0.382,-0.0626,18.047,0.133,17.485,,13.038,,9.425,,"0000",0,"nnnn","BUUU",55496.27527302,55496.27527302,55367.98244287,55367.98244287,,,,,,,,,
33985261,"J054605.60-665654.0 ",86.523343,-66.9483459,0.0496,0.0508,0.0043,14.489,0.025,14.509,0.031,12.87,0.285,9.758,,"0000",0,"31nn","AABU",55452.19985791,55452.19985791,55348.87025669,55348.87025669,,,,,,,,,1252842211
38390739,"J042218.59-653004.7 ",65.5774863,-65.5013067,0.5549,0.5035,-0.056,18.177,0.173,17.356,,13.151,,9.18,,"0000",0,"nnnn","BUUU",55485.78866279,55485.11606459,55363.77346093,55363.77346093,,,,,,,,,
41051826,"J050105.84-643949.3 ",75.2743561,-64.6637137,0.3117,0.2832,-0.0628,17.714,0.094,17.87,,13.502,,9.824,,"0000",0,"nnnn","AUUU",55460.46296089,55459.6057695,55379.46000018,55379.46000018,,,,,,,,,
38348639,"J051340.04-653053.1 ",78.4168676,-65.5147732,0.0506,0.0512,0.0081,14.375,0.025,14.431,0.031,13.232,0.339,9.606,,"0000",0,"10nn","AABU",55429.44504115,55429.44504115,55374.60599024,55374.67840927,,,,,,,,,183668577
60170379,"J034119.50-591026.5 ",55.3312868,-59.1740336,0.0482,0.0478,0.0084,13.883,0.024,13.883,0.029,12.319,,9.396,,"0000",0,"52nn","AAUU",55477.57471993,55477.57471993,55377.35612411,55377.35612411,,,,,,,,,635361084
33989507,"J053753.67-665648.6 ",84.4736313,-66.9468516,0.0423,0.0442,-9.0E-4,13.504,0.024,13.523,0.024,13.447,,9.893,,"00O0",0,"64nn","AAUU",55461.19206971,55461.19206971,55354.03024468,55354.24862061,,,,,,,,,808279228
38228875,"J052414.23-653311.6 ",81.0593134,-65.5532384,0.0446,0.0454,0.008,13.672,0.024,13.682,0.026,13.256,0.433,9.886,,"0h00",0,"75nn","AACU",55479.65256907,55480.25015104,55368.07416679,55368.34736731,,,,,,,,,183813648
34909766,"J051814.61-663813.7 ",79.5609119,-66.637142,0.0383,0.041,0.0045,12.892,0.023,12.936,0.022,13.072,,9.966,,"hh00",0,"99nn","AAUU",55476.60388733,55476.31666824,55362.75365404,55362.75365404,,,,,,,,,199661476
38492568,"J041505.55-652807.9 ",63.7731655,-65.4688751,0.5643,0.5048,-0.0691,17.993,0.178,17.795,0.49,13.009,,9.215,,"0000",0,"nnnn","BCUU",55466.80843228,55466.80843228,55362.68667903,55362.68667903,,,,,,,,,
39000485,"J051127.93-651827.9 ",77.8663956,-65.3077538,0.075,0.073,0.0102,15.596,0.03,16.147,0.077,13.865,,10.212,,"d000",0,"2nnn","AAUU",55429.75402301,55429.75402301,55376.10498469,55376.10498469,,,,,,,,,234086775
35003187,"J062527.43-663621.1 ",96.3643287,-66.605869,0.3851,0.3616,0.0842,18.147,0.119,17.837,,13.642,,9.626,,"0000",0,"nnnn","BUUU",55464.02151842,55462.93160864,55364.7969516,55364.7969516,,,,,,,,,
38521148,"J052059.54-652735.1 ",80.248111,-65.4597631,0.0469,0.0473,0.0083,14.325,0.024,14.404,0.028,13.602,,10.003,,"hh00",0,"42nn","AAUU",55452.94114271,55452.94114271,55369.0675901,55369.0675901,,,,,,,,,183780251
34474680,"J072507.56-664657.1 ",111.2815283,-66.7825477,0.0365,0.0392,-0.0051,12.056,0.022,12.096,0.021,12.196,0.218,9.451,,"0000",0,"11nn","AABU",55442.99629661,55442.99629661,55333.726857,55333.726857,,,,,,,,,721136584
44195389,"J035356.10-634204.2 ",58.4837744,-63.7011711,0.6935,0.632,-0.1534,18.587,0.209,17.919,,13.247,,9.547,,"0000",0,"nnnn","BUUU",55490.58098565,55490.58098565,55366.22359487,55366.22359487,,,,,,,,,
35907977,"J043540.65-661822.6 ",68.9193752,-66.3063019,0.4066,0.365,0.0457,17.781,0.123,17.524,,12.844,,9.404,,"0000",0,"nnnn","BUUU",55465.0388805,55465.97114921,55361.05911043,55361.05911043,,,,,,,,,
